kind,lat,lon
street_lamp,28.6909751,77.2133122
street_lamp,28.6905683,77.2133989
street_lamp,28.691336,77.2135825
street_lamp,28.6909914,77.2138027
street_lamp,28.6911326,77.2137963
street_lamp,28.6908928,77.2133698
street_lamp,28.6901688,77.2130961
street_lamp,28.6889358,77.209811
street_lamp,28.6909822,77.2104446
street_lamp,28.6887812,77.2097262
street_lamp,28.6896714,77.2100742
street_lamp,28.6891033,77.2097893
street_lamp,28.6907824,77.2105932
street_lamp,28.6897033,77.2101965
street_lamp,28.6890915,77.209893
street_lamp,28.6893412,77.2098882
street_lamp,28.689783,77.2101208
street_lamp,28.6895174,77.2101036
street_lamp,28.6926394,77.2135317
street_lamp,28.6927567,77.2132436
street_lamp,28.6929146,77.2128271
street_lamp,28.6926454,77.2131867
street_lamp,28.6925228,77.2138357
street_lamp,28.6927952,77.2127733
street_lamp,28.6928321,77.2130337
street_lamp,28.6927207,77.2129796
street_lamp,28.6951286,77.2136415
street_lamp,28.6911648,77.2099954
street_lamp,28.6915939,77.2085676
street_lamp,28.6912524,77.2097592
street_lamp,28.6911095,77.2098262
street_lamp,28.6912045,77.2095938
street_lamp,28.6910374,77.2102975
street_lamp,28.6911026,77.2101514
street_lamp,28.6910514,77.2100219
street_lamp,28.6913667,77.2095067
street_lamp,28.6914769,77.2091904
street_lamp,28.6915063,77.2087868
street_lamp,28.690975,77.2101888
street_lamp,28.6914366,77.2089857
street_lamp,28.6913233,77.2092918
street_lamp,28.6915771,77.2089224
street_lamp,28.6917352,77.208514
street_lamp,28.6916642,77.2083664
street_lamp,28.6909067,77.2103581
street_lamp,28.6916589,77.2086876
street_lamp,28.6916367,77.2137064
street_lamp,28.6915439,77.2139304
street_lamp,28.6921672,77.2139604
street_lamp,28.680838,77.2087047
street_lamp,28.687228,77.2088685
street_lamp,28.6883544,77.2095099
street_lamp,28.6841169,77.2073758
street_lamp,28.6875366,77.2091018
street_lamp,28.6822723,77.2087725
street_lamp,28.683374,77.208422
street_lamp,28.6802952,77.2085837
street_lamp,28.6874131,77.208958
street_lamp,28.6880946,77.2092987
street_lamp,28.6838247,77.2076446
street_lamp,28.6816854,77.2087819
street_lamp,28.6881656,77.2094128
street_lamp,28.6879781,77.2093181
street_lamp,28.6837114,77.2078912
street_lamp,28.6819712,77.2087867
street_lamp,28.6866383,77.208593
street_lamp,28.6869758,77.2087613
street_lamp,28.6846989,77.2076727
street_lamp,28.6882895,77.2093871
street_lamp,28.6884875,77.2095758
street_lamp,28.6867798,77.2086637
street_lamp,28.6827983,77.2087527
street_lamp,28.6825765,77.2087506
street_lamp,28.6832072,77.2086214
street_lamp,28.6876703,77.2090976
street_lamp,28.6864987,77.2085924
street_lamp,28.6878906,77.2092259
street_lamp,28.6862316,77.2082747
street_lamp,28.6852093,77.2079086
street_lamp,28.6811149,77.2087386
street_lamp,28.6872809,77.208976
street_lamp,28.6839327,77.2074394
street_lamp,28.6877663,77.2092153
street_lamp,28.6806098,77.208661
street_lamp,28.6854563,77.2080302
street_lamp,28.6814292,77.2087773
street_lamp,28.6820771,77.2089117
street_lamp,28.6830539,77.2087011
street_lamp,28.6868875,77.2087875
street_lamp,28.6871062,77.2088875
street_lamp,28.6856637,77.2081397
street_lamp,28.6835748,77.2081521
street_lamp,28.6849388,77.2077898
street_lamp,28.6866926,77.2086865
street_lamp,28.6864434,77.2084998
street_lamp,28.7215264,77.1766099
street_lamp,28.7208082,77.1745886
street_lamp,28.7212011,77.1742537
street_lamp,28.7210308,77.1743989
street_lamp,28.7206457,77.1747327
street_lamp,28.7205129,77.1748459
street_lamp,28.7204058,77.1749177
street_lamp,28.7215436,77.1756617
street_lamp,28.7207049,77.1756709
street_lamp,28.7213331,77.1763109
street_lamp,28.7209235,77.1756815
street_lamp,28.7205041,77.1750626
street_lamp,28.7210381,77.1758715
street_lamp,28.7202083,77.1746162
street_lamp,28.7215539,77.1753479
street_lamp,28.7200761,77.1747318
street_lamp,28.7206343,77.1752553
street_lamp,28.7213558,77.175522
street_lamp,28.7205198,77.1753882
street_lamp,28.7202918,77.1750422
street_lamp,28.7211962,77.1757242
street_lamp,28.7208403,77.1755553
street_lamp,28.721684,77.1752393
street_lamp,28.721162,77.1756816
street_lamp,28.7214475,77.1755167
street_lamp,28.7212322,77.1761607
street_lamp,28.7214265,77.176452
street_lamp,28.7213558,77.1767849
street_lamp,28.7218419,77.1751651
street_lamp,28.7205332,77.1745616
street_lamp,28.6923562,77.2139487
street_lamp,28.6922212,77.2143019
street_lamp,28.6924419,77.21373
street_lamp,28.720703,77.1753588
street_lamp,28.7218955,77.1751234
street_lamp,28.7216469,77.1758176
street_lamp,28.7211502,77.1760386
street_lamp,28.6915827,77.2081681
street_lamp,28.6892386,77.2084114
street_lamp,28.6892799,77.2082747
street_lamp,28.6892337,77.2068692
street_lamp,28.6887566,77.2088924
street_lamp,28.6890674,77.2081406
street_lamp,28.6890566,77.208552
street_lamp,28.689187,77.208549
street_lamp,28.6903751,77.2074385
street_lamp,28.6889379,77.2081267
street_lamp,28.6915061,77.2079993
street_lamp,28.6892812,77.2080211
street_lamp,28.6912861,77.207886
street_lamp,28.6909562,77.2078417
street_lamp,28.6894927,77.2074185
street_lamp,28.6894327,77.206969
street_lamp,28.6910263,77.2077616
street_lamp,28.6899468,77.2072243
street_lamp,28.6886899,77.2094281
street_lamp,28.6891911,77.2082068
street_lamp,28.6891134,77.2079388
street_lamp,28.6893631,77.2073729
street_lamp,28.6907453,77.20774
street_lamp,28.6888973,77.20897
street_lamp,28.6905446,77.207645
street_lamp,28.6891579,77.2069626
street_lamp,28.6908164,77.2076487
street_lamp,28.6887727,77.2092987
street_lamp,28.6888122,77.2083922
street_lamp,28.6890917,77.208657
street_lamp,28.6906307,77.2075704
street_lamp,28.6894416,77.2072335
street_lamp,28.6901773,77.2073356
street_lamp,28.689542,77.2072768
street_lamp,28.6900564,77.2074104
street_lamp,28.6888244,77.2085212
street_lamp,28.6889264,77.2084914
street_lamp,28.6886894,77.2091842
street_lamp,28.6888716,77.2085972
street_lamp,28.6914195,77.2080769
street_lamp,28.6888742,77.2082397
street_lamp,28.6896766,77.2072369
street_lamp,28.6911592,77.2079431
street_lamp,28.6898797,77.2073163
street_lamp,28.6888449,77.2091095
street_lamp,28.6887697,77.2092113
street_lamp,28.6893614,77.2070652
street_lamp,28.6902942,77.2075306
street_lamp,28.6886432,77.2092266
street_lamp,28.6889997,77.2086662
street_lamp,28.6886073,77.208929
surveillance,28.5542835,77.0955268
surveillance,28.554819,77.0956854
surveillance,28.616109,77.0278217
surveillance,28.6073053,77.0358098
surveillance,28.5964248,77.0808721
surveillance,28.5964248,77.0808721
surveillance,28.5964248,77.0808721
surveillance,28.5964256,77.08087
surveillance,28.6310614,77.2211536
surveillance,28.6029437,77.2237996
surveillance,28.6029863,77.223332
surveillance,28.6004519,77.217389
surveillance,28.6023782,77.22214
surveillance,28.6007398,77.2174164
surveillance,28.6021485,77.2207645
surveillance,28.6018731,77.2208812
surveillance,28.5985385,77.2127457
surveillance,28.60031,77.2177668
surveillance,28.5999889,77.2158418
surveillance,28.6008412,77.2177524
surveillance,28.6021972,77.2208948
surveillance,28.6021142,77.2206591
surveillance,28.5992909,77.2142937
surveillance,28.60067,77.2179504
surveillance,28.599098,77.2139026
surveillance,28.5989325,77.2143341
surveillance,28.6015824,77.2201188
surveillance,28.5980662,77.2117486
surveillance,28.5981979,77.2126061
surveillance,28.5972378,77.2232212
surveillance,28.5958188,77.223431
surveillance,28.5960904,77.2233057
surveillance,28.5973708,77.2231931
surveillance,28.5907373,77.2237753
surveillance,28.6327525,77.2221279
surveillance,28.6315601,77.2226248
surveillance,28.6346802,77.2220798
surveillance,28.6321896,77.2220439
surveillance,28.6349228,77.2218449
surveillance,28.6337835,77.2219187
surveillance,28.6339822,77.2225648
surveillance,28.6337398,77.2218979
surveillance,28.6355606,77.2203915
surveillance,28.6353555,77.2211104
surveillance,28.5602215,77.2034294
surveillance,28.5600342,77.1936975
surveillance,28.5595951,77.2065541
surveillance,28.56014,77.193755
surveillance,28.5602215,77.2034294
surveillance,28.5605866,77.193653
surveillance,28.5652457,77.2001699
surveillance,28.5652457,77.2001699
surveillance,28.5641164,77.2197622
surveillance,28.5641458,77.2197714
surveillance,28.6444206,77.1904374
surveillance,28.5881486,77.1688409
surveillance,28.6123157,77.2186907
surveillance,28.5905046,77.1572679
surveillance,28.5905101,77.157169
surveillance,28.629999,77.224324
surveillance,28.62958,77.2248048
surveillance,28.6297668,77.2244038
surveillance,28.5262814,77.1775339
surveillance,28.6306959,77.2236619
surveillance,28.6307034,77.2236564
surveillance,28.6302594,77.2236409
surveillance,28.6302484,77.2236547
surveillance,28.6305992,77.2233028
surveillance,28.6311797,77.2222613
surveillance,28.6311829,77.2222727
surveillance,28.6311848,77.2222654
surveillance,28.631197,77.2222797
surveillance,28.6312026,77.2222759
surveillance,28.5984577,77.1876872
surveillance,28.5984084,77.1873849
surveillance,28.5986895,77.1874327
surveillance,28.5986943,77.1876617
surveillance,28.5994762,77.1878798
surveillance,28.6429317,77.1888284
surveillance,28.6422197,77.1891867
surveillance,28.6423464,77.1893111
surveillance,28.6441946,77.1890628
surveillance,28.6335085,77.2211261
surveillance,28.6329448,77.2213821
surveillance,28.6321227,77.2212427
surveillance,28.6321209,77.2212373
surveillance,28.6325056,77.2213761
surveillance,28.632866,77.2214471
surveillance,28.6333983,77.221546
surveillance,28.632128,77.2212325
surveillance,28.6334117,77.2214704
surveillance,28.6333106,77.2213036
surveillance,28.6325536,77.221433
surveillance,28.6467953,77.1927828
surveillance,28.6219151,77.2215996
surveillance,28.622408,77.2033227
surveillance,28.6224545,77.2032408
surveillance,28.6045609,77.1780272
surveillance,28.611484,77.1746845
surveillance,28.6073801,77.1402192
surveillance,28.6319225,77.220413
surveillance,28.6338185,77.2208189
surveillance,28.623658,77.2062325
surveillance,28.6207337,77.2068055
surveillance,28.6201016,77.2061003
surveillance,28.6208598,77.2095449
surveillance,28.6178806,77.2059376
surveillance,28.6181896,77.2060293
surveillance,28.6212189,77.207953
surveillance,28.5930322,77.1877004
surveillance,28.5930286,77.1875234
surveillance,28.5931758,77.1875811
surveillance,28.5797922,77.1883371
surveillance,28.6315497,77.2217371
surveillance,28.6310735,77.22117
surveillance,28.6320343,77.2211138
surveillance,28.6316193,77.2205948
surveillance,28.6320904,77.2212013
surveillance,28.631662,77.2218012
surveillance,28.6316143,77.2205854
surveillance,28.6315554,77.2217368
surveillance,28.6306992,77.2202752
surveillance,28.6315531,77.2217287
surveillance,28.6442271,77.2239106
surveillance,28.6450011,77.2237985
surveillance,28.5478665,77.217119
surveillance,28.6310247,77.2219397
surveillance,28.6335359,77.2188243
surveillance,28.6333648,77.2186727
surveillance,28.6329157,77.21726
surveillance,28.6320551,77.2176247
surveillance,28.6320864,77.2176147
surveillance,28.6329207,77.2172601
surveillance,28.6312085,77.222052
surveillance,28.6303268,77.2210075
surveillance,28.6311399,77.2221091
surveillance,28.6303115,77.2207258
surveillance,28.6305117,77.2213464
surveillance,28.5645327,77.1896901
surveillance,28.5739255,77.2097236
surveillance,28.5745485,77.2089248
surveillance,28.5744197,77.2088135
surveillance,28.5745012,77.208912
surveillance,28.5737441,77.2096417
surveillance,28.5737532,77.2097278
surveillance,28.5737052,77.2098377
surveillance,28.5742065,77.2090441
surveillance,28.5736979,77.2096405
surveillance,28.5742906,77.2093403
surveillance,28.5742756,77.2093934
surveillance,28.5743633,77.2090985
surveillance,28.5744202,77.2089571
surveillance,28.5745641,77.2090112
surveillance,28.5745856,77.2090274
surveillance,28.5745051,77.2089086
surveillance,28.5753669,77.2093332
surveillance,28.5748899,77.209155
surveillance,28.5753271,77.2093582
surveillance,28.5747574,77.2090046
surveillance,28.5754052,77.2092652
surveillance,28.5743895,77.2089888
surveillance,28.5750118,77.2092104
surveillance,28.5754534,77.2092925
surveillance,28.5753687,77.2093753
surveillance,28.5749256,77.2090546
surveillance,28.574168,77.209718
surveillance,28.5750591,77.2092194
surveillance,28.5747769,77.2090631
surveillance,28.5755381,77.2094183
surveillance,28.5745899,77.2089002
surveillance,28.5754088,77.2093272
surveillance,28.5748049,77.2090341
surveillance,28.5754683,77.2092983
surveillance,28.575448,77.2092842
surveillance,28.5754305,77.2092746
surveillance,28.5747711,77.2090337
surveillance,28.5755158,77.2093197
surveillance,28.5745352,77.208923
surveillance,28.5755508,77.2093548
surveillance,28.5753716,77.2092578
surveillance,28.5747908,77.2089972
surveillance,28.5745551,77.2090155
surveillance,28.5745984,77.2089052
surveillance,28.5754805,77.2094144
surveillance,28.5754609,77.2092969
surveillance,28.5744627,77.2089455
surveillance,28.5754555,77.2093118
surveillance,28.5753784,77.2093323
surveillance,28.5737275,77.2096218
surveillance,28.5737462,77.2096411
surveillance,28.5740838,77.2097838
surveillance,28.5743447,77.2091067
surveillance,28.5738778,77.2083356
surveillance,28.5733997,77.2098905
surveillance,28.5740341,77.208413
surveillance,28.5736458,77.2077149
surveillance,28.5736992,77.2082355
surveillance,28.5734225,77.2099089
surveillance,28.5743671,77.2086021
surveillance,28.5735964,77.207737
surveillance,28.5735236,77.2077781
surveillance,28.5734409,77.2098908
surveillance,28.5744204,77.208575
surveillance,28.5738112,77.2081482
surveillance,28.5740455,77.2078939
surveillance,28.5734703,77.209996
surveillance,28.5734912,77.2097713
surveillance,28.5733976,77.2100216
surveillance,28.5739917,77.2078276
surveillance,28.5735448,77.2098363
surveillance,28.5734523,77.2100525
surveillance,28.5734899,77.2099233
surveillance,28.5740777,77.2084847
surveillance,28.5692196,77.2166371
surveillance,28.5692179,77.2166401
surveillance,28.5692311,77.2166364
surveillance,28.5736351,77.2077067
surveillance,28.5742455,77.2098082
surveillance,28.5744462,77.2096842
surveillance,28.5722693,77.2093161
surveillance,28.5743021,77.2096236
surveillance,28.5743166,77.209624
surveillance,28.5744414,77.2097075
surveillance,28.5734118,77.2091855
surveillance,28.5734118,77.2091855
surveillance,28.6331991,77.2196464
surveillance,28.6331688,77.2197384
surveillance,28.6325308,77.219254
surveillance,28.6330621,77.2197187
surveillance,28.63354,77.2196024
surveillance,28.6328424,77.2190866
surveillance,28.6329234,77.2193495
surveillance,28.6325455,77.2192121
surveillance,28.6326797,77.2192309
surveillance,28.6328308,77.2194644
surveillance,28.6330076,77.2198
surveillance,28.6325403,77.2192682
surveillance,28.6325391,77.2192684
surveillance,28.6332519,77.2196479
surveillance,28.6332071,77.2197661
surveillance,28.6333645,77.2195235
surveillance,28.6326246,77.2201577
surveillance,28.6326482,77.2193296
surveillance,28.6331323,77.2198639
surveillance,28.6333757,77.2196171
surveillance,28.6332239,77.2197643
surveillance,28.6331959,77.2197913
surveillance,28.6324797,77.2191686
surveillance,28.6332611,77.2195614
surveillance,28.6333582,77.2195692
surveillance,28.6325271,77.2192367
surveillance,28.6333275,77.2188669
surveillance,28.6334066,77.2195597
surveillance,28.6331357,77.2196549
surveillance,28.632776,77.2198781
surveillance,28.6334723,77.2185898
surveillance,28.6333118,77.2192517
surveillance,28.632223,77.2191662
surveillance,28.6336087,77.2195851
surveillance,28.6325668,77.2192971
surveillance,28.6333949,77.2192813
surveillance,28.6328939,77.2193394
surveillance,28.6325243,77.2195331
surveillance,28.6334071,77.2194947
surveillance,28.6325973,77.2191973
surveillance,28.6331796,77.2187781
surveillance,28.6328951,77.2194353
surveillance,28.63325,77.2196439
surveillance,28.6333656,77.2193164
surveillance,28.633141,77.2197119
surveillance,28.6332218,77.2197935
surveillance,28.6331864,77.2191189
surveillance,28.6331665,77.2197119
surveillance,28.6324339,77.2192505
surveillance,28.633039,77.2190444
surveillance,28.6324803,77.2200774
surveillance,28.6333875,77.2194937
surveillance,28.632574,77.2195194
surveillance,28.6335445,77.2196431
surveillance,28.6325377,77.2195865
surveillance,28.6331989,77.219565
surveillance,28.6331811,77.219628
surveillance,28.6332303,77.2196776
surveillance,28.6326435,77.2197965
surveillance,28.6332098,77.2198515
surveillance,28.6328726,77.2190244
surveillance,28.6325438,77.2191808
surveillance,28.6332269,77.2194512
surveillance,28.6328565,77.2194069
surveillance,28.6324906,77.2191567
surveillance,28.6326805,77.2192485
surveillance,28.5734129,77.2091937
surveillance,28.5737493,77.2097281
surveillance,28.5736059,77.2089002
surveillance,28.5741102,77.2090373
surveillance,28.6430535,77.2206103
surveillance,28.6435275,77.2205527
surveillance,28.6440933,77.2190552
surveillance,28.6435322,77.2206083
surveillance,28.6434897,77.2205839
surveillance,28.6430213,77.2206144
surveillance,28.6435556,77.2205178
surveillance,28.569833,77.186227
surveillance,28.5637721,77.1794749
surveillance,28.5690787,77.1894993
surveillance,28.5687389,77.1616561
surveillance,28.5695561,77.2047334
surveillance,28.5690977,77.1894887
surveillance,28.5690798,77.1894816
surveillance,28.5661906,77.1650837
surveillance,28.5702014,77.2169102
surveillance,28.5695308,77.1955259
surveillance,28.5695226,77.2034114
surveillance,28.5695928,77.2047742
surveillance,28.5655952,77.1763997
surveillance,28.565409,77.163642
surveillance,28.5697799,77.2013226
surveillance,28.5678406,77.1647218
surveillance,28.5656572,77.1816728
surveillance,28.5626716,77.1886361
surveillance,28.5636082,77.1790404
surveillance,28.5694987,77.1956199
surveillance,28.5693642,77.2060789
surveillance,28.5634675,77.1793574
surveillance,28.5692854,77.1896036
surveillance,28.5690553,77.1619751
surveillance,28.5624359,77.188715
surveillance,28.5693351,77.1920809
surveillance,28.5671821,77.1589693
surveillance,28.5687488,77.161666
surveillance,28.5626738,77.1885935
surveillance,28.5693599,77.1939704
surveillance,28.5693721,77.2166696
surveillance,28.5696892,77.1977967
surveillance,28.5690809,77.1894665
surveillance,28.5696692,77.1977993
surveillance,28.5664295,77.1890924
surveillance,28.5695959,77.2047341
surveillance,28.5693263,77.192059
surveillance,28.5637549,77.1795089
surveillance,28.563723,77.1794392
surveillance,28.567177,77.1828223
