area_code,grid_row,grid_col,street_lamp_count,cctv_count,activity_count,footway_km,lit_yes_km,lit_tagged_km,streetlight_density,cctv_coverage,activity_density,footpath_quality,lit_share_score,lighting_score,crowd_density,osm_coverage,osm_evidence,infra_score
AREA-05-00,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-05-01,5,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-05-02,5,2,0,0,0,0.1641,0.0,0.0,0.0,0.0,0.0,0.0571,0.7238,0.7238,0.0,0.1551,0.82,0.0571
AREA-05-03,5,3,0,0,0,1.8514,0.0,0.0,0.0,0.0,0.0,0.4563,0.7238,0.7238,0.0,0.6027,9.257,0.4563
AREA-05-04,5,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-05-05,5,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-05-06,5,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-05-07,5,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-05-08,5,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-05-09,5,9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-05-10,5,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-05-11,5,11,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-05-12,5,12,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-05-13,5,13,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-05-14,5,14,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-05-15,5,15,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-05-16,5,16,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-05-17,5,17,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-05-18,5,18,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-05-19,5,19,14,0,0,0.0,2.1282,2.1801,0.6909,0.0,0.0,0.0,0.8968,0.8248,0.0,0.8425,24.9,0.6909
AREA-05-20,5,20,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-05-21,5,21,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-05-22,5,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-05-23,5,23,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-05-24,5,24,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-05-25,5,25,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-05-26,5,26,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-05-27,5,27,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-05-28,5,28,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-05-29,5,29,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-05-30,5,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-05-31,5,31,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-05-32,5,32,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-05-33,5,33,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-05-34,5,34,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-05-35,5,35,0,0,1,0.0,0.0,0.0,0.0,0.0,0.1294,0.0,0.7238,0.7238,0.1294,0.1794,1.0,0.5
AREA-05-36,5,36,0,0,20,0.0,0.0,0.0,0.0,0.0,0.7115,0.0,0.7238,0.7238,0.7115,0.7882,20.0,0.5
AREA-05-37,5,37,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-05-38,5,38,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-05-39,5,39,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-06-00,6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-06-01,6,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-06-02,6,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-06-03,6,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-06-04,6,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-06-05,6,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-06-06,6,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-06-07,6,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-06-08,6,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-06-09,6,9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-06-10,6,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-06-11,6,11,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-06-12,6,12,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-06-13,6,13,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-06-14,6,14,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-06-15,6,15,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-06-16,6,16,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-06-17,6,17,0,0,0,0.0,1.7533,1.8392,0.0,0.0,0.0,0.0,0.8725,0.8725,0.0,0.6011,9.196,0.5
